,SUTAN RAYA TRAVEL,,,,,,,,,,,,,,,,,,,,,,,,,,
,NERACA,,,,,,,,,,,,,,,,,,,,,,,,,,
,Per ,31 Januari 2025,,28 Februari 2025,,31 Maret 2025,,30 April 2025,,31 Mei 2025,,30 Juni 2025,,31 Juli 2025,,31 Agustus 2025,,30 September 2025,,,30 September 2025,,31 Oktober 2025,,30 November 2025,,31 Desember 2025
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASET,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASET LANCAR,,,,,,,,,,,,,,,,,,,,,,,,,,
111101,Kas Operasional,  499.500 ,"0,0%",- 659.000 ,"0,0%",  2.252.000 ,"0,0%",  2.616.500 ,"0,0%",  7.432.500 ,"0,1%",  16.246.000 ,"0,1%",  830.000 ,"0,0%",- 692.500 ,"0,0%",  21.742.000 ,"0,1%",,,,,,,,
111102,Kas Wed,  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",,,,,,,,
111103,Bus Tunai,  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  1.030.000 ,"0,0%",,,,,,,,
111104,Travel Pdg Tunai,  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  2.790.000 ,"0,0%",,,,,,,,
111105,Travel Bkt Tunai,  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  1.740.000 ,"0,0%",,,,,,,,
111106,Travel Pyk Tunai,  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  11.120.000 ,"0,1%",,,,,,,,
111107,Travel Pdg BCA,  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  1.000.000 ,"0,0%",,,,,,,,
111108,Travel Bkt BCA,  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  1.000.000 ,"0,0%",,,,,,,,
111109,Travel Pyk BCA,  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  -   ,"0,0%",  1.000.000 ,"0,0%",,,,,,,,
